"Date","Company","Title","Location","Description","Level","Type","Function","Industry","Link"
"2024-01-04","PT. Metrodata Electronics Tbk.","Software Engineer (Backend)","Jakarta, Jakarta, Indonesia","Responsibilities

Backend Developer roles and responsibilities include:


Design, Develop, Analyze, troubleshooting related Backend Development.
Collaborate with Frontend Developer
Involved in all aspects of the development lifecycle, including development, Testing, UAT, deployment, warranty and post-warranty bug fixes.
Conduct analysis and problem solving of application accuracy, application dependency, reporting and technical function.


Requirements


Bachelor's Degree Computer Science/Information Technology
At least 2 year(s) of working experience as Backend Developer
Proficient knowledge of a backend programming language and an in depth understanding of web development
Experienced in programming language like Go, Node Js or PHP
Strong understanding of the web development cycle and programming technique and tools.
Show more ","Entry level","Contract","Engineering and Information Technology","Information Technology & Services","https://id.linkedin.com/jobs/view/software-engineer-backend-at-pt-metrodata-electronics-tbk-3798349668?position=4&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=tC7WBsR9RuR%2FkY0cU37jvg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-23","Traveloka","Software Engineer","Jakarta Metropolitan Area","It's fun to work in a company where people truly BELIEVE in what they're doing!

‎

‎

Job Description

Softtware Engineer in TA (Backend)

‎

Requirements

Education: Bachelor

Technical Skills:


Comfortable in programming language with proven working experience in software development
Write a readable code at operational level which is reusable, efficient
Understand and able to explain technical documentation from other parties.
Follow best practices and processes in solving difficult & complex assignments of task
Being able to tackle work that has had most important assumptions stated and clarified


‎

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/software-engineer-at-traveloka-3915803508?position=5&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=EhbpRYUFihb%2FY9ZcYtrOzQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-05","PT Completed Inovasi Teknologi","Full Stack Developer","Indonesia","Responsibilities


Membuat dan memperbaiki fitur pada produk dengan cara yang aman, teruji, dan efisien.
Menulis kode yang sesuai dengan standar internal, memastikan kualitas, dan efisiensi dalam lingkungan web yang berukuran besar.
Menganjurkan perbaikan dalam kualitas produk, keamanan, dan kinerja.
Menangani masalah teknis dengan tingkat kesulitan yang sedang.
Melakukan pengiriman fitur kecil dan perbaikan dengan percaya diri, dengan sedikit bantuan dari tim.
Bekerja dalam pola pikir yang fokus pada memberikan perbaikan dan nilai dengan cepat.
Tetap up-to-date dengan teknologi terbaru dalam pengembangan web.
Memimpin pengembangan aplikasi web yang responsif, ramah pengguna, dan berkualitas tinggi menggunakan HTML, CSS, dan JavaScript.
Menggunakan kerangka kerja front-end modern seperti React, Vue.js, atau Angular untuk membuat antarmuka pengguna yang dinamis dan dapat ditingkatkan.
Menulis kode yang bersih, terdokumentasi dengan baik, dan mudah dipelihara sesuai dengan praktik terbaik dalam pengembangan perangkat lunak.
Memberikan bimbingan kepada pengembang junior, memberikan keahlian teknis, melakukan peninjauan kode, dan mendorong budaya pembelajaran dan peningkatan terus-menerus.
Melakukan peninjauan kode yang teliti, memastikan kode berkualitas tinggi, mematuhi praktik terbaik, dan mengoptimalkan kode.
Tetap up-to-date dengan tren dan teknologi terbaru dalam pengembangan front-end, memberikan rekomendasi untuk perbaikan.
14. Berkolaborasi erat dengan manajer produk, UI/UX, dan backend programmer untuk mengidentifikasi dan menentukan kebutuhan aplikasi.


Requirements


Penguasaan dalam PHP Laravel 9.0 atau versi terbaru dan NodeJS, termasuk RESTful API.
Kemampuan untuk menulis dan mengoptimalkan pertanyaan SQL untuk MySQL dan Postgresql, termasuk merancang struktur database.
Pengalaman dalam mengelola pertanyaan dari pelanggan, pemicu, dan prosedur tersimpan.
Memahami dan dapat menerapkan konsep keamanan seperti cross-origin, XSS, SQL injection, enkripsi data, JWT OAuth, dan integrasi API dengan mitra.
Kemampuan dalam manajemen repositori dan percabangan menggunakan Git, serta pemahaman tentang sistem kontrol versi.
Pengetahuan dan pengalaman dengan CI/CD, microservices, serta docker akan menjadi nilai tambah yang signifikan. Sikap positif, kemampuan berpikir kreatif, dan orientasi pada mencari solusi.
Kemampuan untuk menerjemahkan desain UI/UX menjadi aplikasi fungsional, termasuk penggunaan manajemen status (misalnya Redux untuk React).
Pemahaman tentang penggunaan alat pengelompok (Webpack, Parcel, dll.) dan pengelola paket (npm, Yarn).
Familiar dengan konsep desain responsive dan mobile-first.
Pengalaman dalam mengembangkan aplikasi mobile dengan React Native atau Flutter.
Familiar dengan sistem manajemen basis data NoSQL seperti MongoDB atau Firebase.
Mampu menerjemahkan desain UI/UX dari alat seperti Figma ke kode HTML yang responsif dan berfungsi.
Penguasaan HTML5, CSS3, dan JavaScript, termasuk pemahaman tentang prinsip aksesibilitas dan SEO.
Pengalaman dengan kerangka kerja UI/UX seperti React JS, Angular JS, atau Vue JS.
Dapat bekerja di lingkungan Unix/Linux.","","","","","https://id.linkedin.com/jobs/view/full-stack-developer-at-pt-completed-inovasi-teknologi-3917849336?position=6&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=hN4qdDyuyS0M74WrrOVhfw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-03-17","Talent Disruptors","Full-Stack Developer","Indonesia","The Opportunity: We're seeking an experienced and passionate Full-Stack Developer to join our dynamic team. This is a pivotal role where you'll design, develop, and maintain robust web applications and systems that drive the success of our business. Your deep understanding of both front-end and back-end technologies, database design, and cloud expertise will be invaluable in this exciting position.

Key Responsibilities:


Full-Lifecycle Development: Collaborate with the team to bring new web applications from concept to launch, ensuring performance, responsiveness, and scalability.
Front-End Mastery: Build intuitive and visually appealing user interfaces utilizing JavaScript, React, and related frameworks.
Back-End Engineering: Design and implement robust back-end systems using Python, MySQL, and other relevant technologies.
API Expertise: Develop, integrate, and maintain RESTful APIs to power seamless interactions within our systems and with external services.
AWS Proficiency: Leverage your extensive AWS knowledge to optimize cloud infrastructure, services, and application deployment.
Database Design: Design, create, and maintain efficient databases to support web applications.
ETL/ELT Processes: Implement effective data transfer mechanisms between internal systems and third-party platforms.
Team Player: Collaborate with engineers, designers, and product managers in a fast-paced agile environment.
Troubleshooting Excellence: Proactively identify and resolve performance bottlenecks and technical issues.


Requirements:


Proven Experience: Minimum 5 years of experience across the full software development stack.
Technical Expertise: In-depth knowledge of:
JavaScript, React, HTML, CSS
Python, MySQL (or similar relational database)
RESTful API design and implementation
AWS services (EC2, S3, RDS, etc.)
Cloud Savviness: Strong understanding of cloud-based development principles and best practices.
Database Proficiency: Experience in database design, normalization, and optimization.
ETL/ELT Skills: Track record of successfully implementing data transfer solutions.
Problem Solving Mindset: Analytical thinker with excellent troubleshooting skills.


Nice to Haves:


Experience with Node.js, NoSQL databases (MongoDB, DynamoDB).
Understanding of modern CI/CD pipelines and tools (Jenkins, Gitlab, etc.)
Familiarity with containerization technologies (Docker, Kubernetes)


What's in it for you:


Competitive salary and comprehensive benefits package
Opportunity to contribute to impactful projects
Collaborative and supportive work environment
Potential for professional growth and advancement


Show more ","Entry level","Full-time","Engineering and Information Technology","Staffing and Recruiting","https://id.linkedin.com/jobs/view/full-stack-developer-at-talent-disruptors-3860722953?position=7&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=oSVBnRoPRRSs2itM14wAZg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-02","PT. RAKHASA ARTHA WISESA","Programmer Full-Stack JavaScript","Jakarta Metropolitan Area","Requirements


Minimum 1 years experience in Full-Stack Javascript Developer
Participating in the entire application development lifecycle, from design and planning to implementation and deployment.
Writing clean, well-documented, and maintainable code for both front-end and back-end.
Developing and integrating APIs to connect different parts of the application.
Troubleshooting and debugging issues across the entire application stack.
Optimizing application performance for speed and scalability.
Collaborating with designers, front-end developers, back-end developers, and other stakeholders throughout the development process.
Staying up-to-date with the latest advancements in JavaScript technologies and frameworks.


Responsibilities


Create and develop website applications using the React, Next and Express frameworks as the backend
Have expertise in server-side JavaScript such as Node.js or a similar back-end framework (e.g.,Express.js)
Able to use API (Application Programming Interfaces) which facilitates communication between front-end and back-end.
Can use databases (potentially using SQL or NoSQL technology) to store and manage data.
Have a basic understanding of cloud platforms such as AWS, Azure, and GCP.
Show more ","Entry level","Full-time","Engineering and Information Technology","Information Technology & Services","https://id.linkedin.com/jobs/view/programmer-full-stack-javascript-at-pt-rakhasa-artha-wisesa-3935684147?position=8&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=IhAQCE3%2BOqz8Byu81oUxCA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2023-12-06","PT.Enseval Putera Megatrading Tbk","Web Developer","Bekasi, West Java, Indonesia","Responsibilities


Develop and maintain web applications.
Proficient in various web technologies including HTML5, CSS3, and JavaScript.
Understand API concepts and work with various frameworks.
Proficiency in databases such as MySQL, SQL Server, and PostgreSQL.
Strong programming skills in Java and Angular.
Proficient in version control using GIT.
Additional knowledge of React.js, Lumen, Laravel, and React Native is a plus.
Understand the concept of integrating web applications with other systems, like Active Directory, ERP, Supply Chain, etc.


Requirements


Candidate must possess at least a Bachelor Degree from Information Technology
Fresh graduates are welcome to apply, preferable 1 year related experience
Required Skills (Web Developer): Flutter, PHP, C#, .Net, Java, Query, and SQL
Strong in analythical thinking, able to work underpressure, deep passion in programming or develop system application
Show more ","Entry level","Full-time","Engineering and Information Technology","Pharmaceutical Manufacturing","https://id.linkedin.com/jobs/view/web-developer-at-pt-enseval-putera-megatrading-tbk-3779662264?position=9&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=S7HVj2oSMsOS2WdPfdIFgg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-14","PT Dharma Satya Nusantara Tbk","IT Developer Internship","East Jakarta, Jakarta, Indonesia","Qualification:

Experienced or fresh graduates are welcome to apply
S1 Informatics, or another major related to IT
Having experiences handling Website (PHP/ASP.NET) and SQL
Hybrid, and willing to be placed in East Jakarta, HQ
Show more ","Internship","Internship","Information Technology","Farming","https://id.linkedin.com/jobs/view/it-developer-internship-at-pt-dharma-satya-nusantara-tbk-3921632812?position=10&pageNum=5&refId=FhkKIpWf3UnvuZF6Qw4s0g%3D%3D&trackingId=QHJuTNz4TPVmSFwvpEuoCw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-14","Traveloka","Software Engineer","Jakarta, Indonesia","It's fun to work in a company where people truly BELIEVE in what they're doing!

‎

Job Description

You are to join the product development team and together participate in the complete cycle of product development from ideation, designing, implementation, and support.
You are to actively collaborate with the Product, Design, and Other Engineering teams to deliver the best product to customers.
You are to own one or more microservices of your product domain.
Together with the team, you are to participate and contribute in engineering hygiene such as code review, unit testing, and integration testing.
Together with the team, you are to participate and contribute to the solution and architectural design review.
Together with the team, you are to participate in the system and service support as on-call.
Together with the team, you are to participate and contribute to innovation and problem-solving.

‎

Requirements

Knowledge and experience in Java; knowledge in other programming language is a plus
Knowledge and experience in crafting solutions and build architecture design for a distributed system.
Knowledge and experience in AWS/GCP/Azure/Alicloud is a plus
Knowledge and experience in Automation and CI/CD is a plus
Knowledge and experience in Web (nodejs, react, reactnative) is a plus
Knowledge and experience in IAC (infra as a code) using Terraform is a plus
Experience in mentoring is a plus

‎

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

Show more ","Mid-Senior level","Full-time","Information Technology and Engineering","Software Development and Travel Arrangements","https://id.linkedin.com/jobs/view/software-engineer-at-traveloka-3925498937?position=1&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=73afN0227re64QO02DU6wA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-01-25","bit. (PT. Bringin Inti Teknologi)","Back End Developer","Jakarta, Jakarta, Indonesia","Responsibilities


Utilize languages like Go, PHP/Laravel, and Python for backend development and maintenance.
Manage SQL (MySQL, PostgreSQL) and NoSQL (MongoDB) databases for data storage and retrieval.
Implement and manage messaging systems such as Kafka, RabbitMQ, and Redis for enhanced performance.
Design and implement APIs for effective frontend-backend communication.
Regularly use Git for code versioning and collaborative development.
Apply clean code architecture practices to ensure code quality and maintainability.
Use object-oriented programming techniques for modular and scalable code development.
Understand and implement Entity Relationship Diagrams and database normalization for efficient database design.


Requirements


Minimum Bachelor of Science in computer science, software engineering, programming, or equivalent
Proficiency with languages such as Go, PHP/Laravel, and Python
Understanding Entity Relationship Diagram and normalization
Experience in SQL (my sql, postgresql) and no SQL (mongodb)
Have experience in implement messages broker (kafka), messages queue (rabbitmq) and redis is a plus
Experience with the design and implementation of APIs
Understanding of code versioning tools such as Git
Understanding of clean code architecture is a plus
Understanding of object-oriented programming
Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/back-end-developer-at-bit-pt-bringin-inti-teknologi-3813208244?position=2&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=Brz9baBuH46Upt%2FXXz3bww%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-07","PT Prodia Widyahusada Tbk. (Prodia)","Fullstack Developer","Jakarta, Jakarta, Indonesia","Conducting all unit testing on the system that has been made to team.

Create and implement programming logic to develop IT system.

Implement, customize, test document and maintaning software applications.

Minimum Qualifications

Bachelor's degree of Informatics Engineering/Computer Engineering/Information System, Min GPA 3.00 (scale 4.00)

Having 2 years working experience in fullstack programming (backend & frontend).

Having knowledge Java, Go Lang, PHP, React JS, PL SQL Query, and AWS.

Strong understanding for RESTful API and JSON/XML.

Having hands-on experience with one of ReactJS or Codeigniter.

Having knowledge with one (or more) of this database; oracle, mysql, mssql.

Having ability to develop new applications and implement IT System development projects.
Show more ","Associate","Full-time","Engineering and Information Technology","","https://id.linkedin.com/jobs/view/fullstack-developer-3920223227?position=3&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=IdsvrC%2B5CWHVecPp1UmkQw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-22","Traveloka","Software Engineer","Jakarta Metropolitan Area","It's fun to work in a company where people truly BELIEVE in what they're doing!

‎

‎

Job Description


You are to join the product development team and together participate in the complete cycle of product development from ideation, designing, implementation, and support.
You are to actively collaborate with the Product, Design, and Other Engineering teams to deliver the best product to customers.
You are to own one or more microservices of your product domain.
Together with the team, you are to participate and contribute in engineering hygiene such as code review, unit testing, and integration testing.
Together with the team, you are to participate and contribute to the solution and architectural design review.
Together with the team, you are to participate in the system and service support as on-call.
Together with the team, you are to participate and contribute to innovation and problem-solving.


‎

Requirements


Knowledge and experience in Java; knowledge in other programming language is a plus
Knowledge and experience in crafting solutions and build architecture design for a distributed system.
Knowledge and experience in AWS/GCP/Azure/Alicloud is a plus
Knowledge and experience in Automation and CI/CD is a plus
Knowledge and experience in Web (nodejs, react, reactnative) is a plus
Knowledge and experience in IAC (infra as a code) using Terraform is a plus
Experience in mentoring is a plus


‎

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/software-engineer-at-traveloka-3909118377?position=4&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=v951HGCFk2IabXuwWGVbuA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2023-12-06","ITOMMEY Group","Backend Developer","Jakarta, Jakarta, Indonesia","Responsibilities


Work with developers to design algorithms and flowcharts
Produce clean, efficient code based on specifications
Integrate software components and third-party programs
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software
Gather and evaluate user feedback
Recommend and execute improvements
Create technical documentation for reference and reporting


Requirements


Bachelor Degree (S1) Degree in Technology/Technical/lnformation System/ Other related educations.
Min 1 years working experience as a Software Engineer, Back End or Similar role is a must!
Familiarity with Sprint or Agile development methodologies
Experience with software design and development
Knowledge of frameworks/systems (e.g. NodeJS, ExpressJS, etc)
Have deep SQL skills for Sql Server/Mysql/PostgreSql etc
Ability to learn new languages and technologies
Good communication skills
Resourcefulness and troubleshooting aptitude
Attention to detail","","","","","https://id.linkedin.com/jobs/view/backend-developer-at-itommey-group-3779653628?position=5&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=sY04O%2Fij8dxOxrQBix3d0Q%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-03-09","Mitramas Infosys Global","Software Engineer","Jakarta, Jakarta, Indonesia","Here In Mitramas Infosys Global, You Will Be Exposed To Work On Software Across a Diverse Platform Of Technologies As Well As a Variety Of Industries Within Our Portfolios. We Are Looking For Talents With High Tenacity In Solving Problems, Exceptional Passion For Technologies, And a Great Willingness To Learn And Adapt To Ever-changing Environments To Join Our Team. You Are Expected To Be Able To


Write code, perform testing and debugging of applications using current programming languages and technologies
Complete documentation and procedures for testing and maintenance
Perform unit tests and support functional tests
Convert given high-level software design to low-level software design as given requirement
Continually learn about new programming languages and technologies


Minimum Qualifications


Fresh graduate Bachelor or Diploma degree in Computer Science or related fields
Bachelor or Diploma degree in any fields with related experience
Strong in algorithms and object-oriented programming
Strong knowledge of minimum 1 programming language (Java/PHP/Go/Javascript/React, etc)
Having basic knowledge of relational databases
Strong desire to learn new technologies related to software development.
Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/software-engineer-at-mitramas-infosys-global-3851497771?position=6&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=%2F0KgYm7%2Bp2WaE5axkfS%2BRw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-01-04","Shipper","Software Engineer","Jakarta Metropolitan Area","What Is Shipper

Shipper is a growing technology company based in Jakarta. With our mission to moving our society forward, we provide well-rounded logistics solutions for businesses of all sizes. Today, we offer several services including First-Mile Pickup and Delivery, Fulfillment/Warehouse Management, and Cross-Border shipping services. We are financially supported by eminent investors, including Naspers, Floodgate, Y-combinator, Lightspeed Ventures Partners, Insignia Ventures Partners, DST Global Partners, and Sequoia Capital India.

Why Join Shipper

An opportunity to build the next Unicorn and work with some of the smartest people in their fields and specialties. While also creating an impact by supporting small sellers and micro-entrepreneurs across the nation

How Do We Live Our Core Values CCIIH


Customer: Always Start with Customer First
Collaboration: One-for-All, All-for-One
Innovation: Be Bold and Move Fast
Integrity: Lead with Integrity
Humility: Build Trust through Humility


About The Role

As Software Engineer you will collaborate with fellow engineers and product partners as you solve interesting

problems in the full development lifecycle designing, developing, testing, deploying, maintaining, monitoring

and improving software that powers Shipper’s complex shipping system.

What Will You Do


Communicate, collaborate, and work effectively across distributed teams in a fast pace environment
Provide internal support and scalability of our engineering environment
Design and write well-structured, easily maintainable, and thoroughly tested code
Perform, debug and fix bugs, competency in 1 programming language
Supporting the company by making continuous improvements in accordance with company's vision and mission


What Are The Requirements


Should have at least 3 years of experience in Backend Software Development with a proven track record of shipping successful software products
Competency in a backend programming language, preferably having at least 1 year of hands-on experience in Java and/or Go
Familiarity with MongoDB and MySQL
Familiarity with cloud-based environment, preferably AWS
Familiarity with an agile framework is a plus, preferably Scrum
Understanding of how to build high-volume, distributed back-end services with the latest technologies
Strong analytical and problem-solving skills
Ability to communicate fluently in Bahasa Indonesia & English
Ability to demonstrate comprehension of any given information


Powered by JazzHR

jzXD975UYa
Show more ","Mid-Senior level","Full-time","Engineering and Information Technology","Internet Publishing","https://id.linkedin.com/jobs/view/software-engineer-at-shipper-3798434272?position=7&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=sqkrM1jUB4V2kj6tALpUhA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-17","OCBC Indonesia","Software Engineer","Tangerang, Banten, Indonesia","Are you a talented Software Engineer with a passion for full-stack development?




Join our dynamic Regional Development Center as we embark on exciting group-wide projects across Singapore, Malaysia, China, the Philippines, and beyond. As a Software Engineer, you'll have the opportunity to work on diverse projects and collaborate with team members from different backgrounds, making a real impact in the industry.




Responsibilities:

Bring your coding expertise to life by developing program code based on Functional Specification Design.
Embrace the agile software development process, participating in all aspects from design to implementation, testing, and deployment.
Showcase your architectural skills by providing guidance on building end-to-end systems optimized for speed and scalability.
Contribute your technical input and analysis during the gathering stage, including making development time estimates that adhere to predetermined limits.
Ensure the quality of our programs by conducting internal tests with programmers, promoting error-free programs to UAT (User Acceptance Testing).
Communicate effectively by reporting any issues or delays in the development process to the Project Manager and/or Line of Business Manager.
Create comprehensive system documentation to support the project's success.




Requirements:

Hold a Bachelor's Degree in Computer Science, Information Technology, or a related field.
Demonstrate a minimum of 3 years of experience in software development.
Showcase your proficiency in one or more of the following technologies: Java, Spring Boot, JavaScript, Kotlin, or Swift.
Possess a strong knowledge of REST API development.
Familiarity with code versioning tools, such as Git, is essential.
Exhibit a solid understanding of data structures, system design, and algorithms.
Location: BSD, Tangerang, Indonesia.
Show more ","Mid-Senior level","Full-time","Information Technology and Engineering","Banking, IT Services and IT Consulting, and Technology, Information and Internet","https://id.linkedin.com/jobs/view/software-engineer-at-ocbc-indonesia-3881064899?position=8&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=aDfE5xN5gXH6ngchEwk0%2BA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-16","Traveloka","Software Engineer - Backend","Jakarta Metropolitan Area","It's fun to work in a company where people truly BELIEVE in what they're doing!

‎

‎

Job Description

Our team is seeking an passionate Backend Software Engineer to join us as we create and deliver mission critical services and processes to enable Traveloka Experience.

As a Backend Software Engineer, you will have the opportunity to design and develop creative, compelling, and maintain highly available systems that serve millions of Traveloka users every day. You will develop software and services at scale, innovating on the latest technologies as the earliest adopters while employing your knowledge in algorithms, design patterns, and data structures to solve our customers' needs.

In addition to collaborating with fellow engineers, Product Managers, Operations, and Designers, you will be working in an open environment where there are no boundaries or power distances, and are expected to ask questions, speak your mind, and continuously learn and grow.

As a Backend Software Engineer, you are expected to:


Be responsible for designing, building, improving, or maintaining our backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure
Contribute code to projects that require backend work
Improve existing code bases to be more scalable and reliable
Monitor and react on alerts to resolve issues
Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered
Propose solutions to code or problems in a high-traffic environment
Perform analysis exercises and contribute to postmortems for incidents
Work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background
Participate and contribute to engineering hygiene such as code review, unit testing, integration testing, and architectural design review
Be encouraged to speak your mind, propose ideas, influence others, and continuously grow yourself


‎

Requirements


Bachelors' degree in Computer Science from reputable universities s preferred.
Excellent problem solving by employing algorithms, data structures, and design patterns
Willingness to continuously learn new things in assigned team: technology-related, product-related, or others
Strong sense of ownership and belonging to the product(s) owned by the team, and to the tasks at hand
Fluency with English, both oral and written
Prior technical engineering or working experience is a plus


‎

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/software-engineer-backend-at-traveloka-3927531748?position=9&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=0eC2quvo7ZH%2FYIPjox9mvw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-16","Traveloka","Software Engineer - Backend","Jakarta Metropolitan Area","It's fun to work in a company where people truly BELIEVE in what they're doing!

‎

‎

Job Description

Our team is seeking an passionate Backend Software Engineer to join us as we create and deliver mission critical services and processes to enable Traveloka Experience.

As a Backend Software Engineer, you will have the opportunity to design and develop creative, compelling, and maintain highly available systems that serve millions of Traveloka users every day. You will develop software and services at scale, innovating on the latest technologies as the earliest adopters while employing your knowledge in algorithms, design patterns, and data structures to solve our customers' needs.

In addition to collaborating with fellow engineers, Product Managers, Operations, and Designers, you will be working in an open environment where there are no boundaries or power distances, and are expected to ask questions, speak your mind, and continuously learn and grow.

As a Backend Software Engineer, you are expected to:


Be responsible for designing, building, improving, or maintaining our backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure
Contribute code to projects that require backend work
Improve existing code bases to be more scalable and reliable
Monitor and react on alerts to resolve issues
Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered
Propose solutions to code or problems in a high-traffic environment
Perform analysis exercises and contribute to postmortems for incidents
Work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background
Participate and contribute to engineering hygiene such as code review, unit testing, integration testing, and architectural design review
Be encouraged to speak your mind, propose ideas, influence others, and continuously grow yourself


‎

Requirements


Bachelors' degree in Computer Science from reputable universities s preferred.
Excellent problem solving by employing algorithms, data structures, and design patterns
Willingness to continuously learn new things in assigned team: technology-related, product-related, or others
Strong sense of ownership and belonging to the product(s) owned by the team, and to the tasks at hand
Fluency with English, both oral and written
Prior technical engineering or working experience is a plus


‎

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/software-engineer-backend-at-traveloka-3927531747?position=10&pageNum=7&refId=jqDik%2FgxPIAPM8bVs4p4cA%3D%3D&trackingId=G9Nz9UTmq7FdqZHQHxt3gw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-06-03","PT. Geonet Infomedia","Full Stack Web Developer","South Jakarta, Jakarta, Indonesia","Job description Full Stack Web Developer




==============================

We are HIRING!

Title: Full Stack Web Developer

Location: Jakarta or Outside Jakarta

 

Requirements :

1. Bachelor's Degree in Computer Science/Information Technology or equivalent.

2. At least 1 year of working experience in related field.

3. Fluent in English is a plus.

4. Strong problem-solving skills and attention to detail.

5. Ability to work collaboratively in a team environment.

6. Health certificate from doctor.

 

Technical Qualification :

1. Have a good understanding of object-oriented programming

2. Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript

3. Proficiency with server-side languages such as Phyton, Dojo, C# and .Net

4. Have a good understanding of Oracle or SQL Server

5. Familiar with git versioning

 

Send your application and completed CV to: hrd@geonet.co.id

Closing Date: 18 June 2024

==============================

Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/full-stack-web-developer-at-pt-geonet-infomedia-3938640284?position=1&pageNum=10&refId=BfC3mZMT6Ny%2FMAZUsrEqFg%3D%3D&trackingId=oqpC0g4DZbtn1gFHJxZNFw%3D%3D&trk=public_jobs_jserp-result_search-card"
